task_id,benchmark,source_dataset,source_config,split,problem_index,unique_id,subject,subject_zh_hans,subject_en,question,question_zh_hans,question_en,answer_raw,answer,answer_format,scoring
olymmath_hard_27_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,28,OlymMATH-HARD-27-ZH,幾何,几何,Geometry,"已知橢圓 $C: x^{2} / a^{2}+y^{2} / b^{2}=1$ $(a>b>0)$ 的離心率 $e=4 / 5$, $P$ 為橢圓上異於長軸左右頂點 $A$, $B$ 的任意一點, $F_{1}$, $F_{2}$ 分別為橢圓的左右焦點, 且 $\angle APB=2 \alpha$, $\angle F_{1} P F_{2}=2 \beta$, 求 $\tan \beta \cdot \tan 2 \alpha$ 的最小值.","已知椭圆 $C: x^{2} / a^{2}+y^{2} / b^{2}=1$ $(a>b>0)$ 的离心率 $e=4 / 5$, $P$ 为椭圆上异于长轴左右顶点 $A$, $B$ 的任意一点, $F_{1}$, $F_{2}$ 分别为椭圆的左右焦点, 且 $\angle APB=2 \alpha$, $\angle F_{1} P F_{2}=2 \beta$, 求 $\tan \beta \cdot \tan 2 \alpha$ 的最小值.","Given an ellipse $C: x^{2} / a^{2}+y^{2} / b^{2}=1$ $(a>b>0)$ with eccentricity $e=4 / 5$, let $P$ be any point on the ellipse different from the left and right vertices $A$ and $B$ on the major axis, $F_{1}$ and $F_{2}$ are the left and right foci of the ellipse respectively, and $\angle APB=2 \alpha$, $\angle F_{1} P F_{2}=2 \beta$. Find the minimum value of $\tan \beta \cdot \tan 2 \alpha$.",-\frac{5}{2},-\frac{5}{2},math_expression,symbolic_equivalence
olymmath_hard_28_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,29,OlymMATH-HARD-28-ZH,代數,代数,Algebra,"已知 $\frac{by}{z}+\frac{cz}{y}=a$, $\frac{cz}{x}+\frac{ax}{z}=b$, $\frac{ax}{y}+\frac{by}{x}=c$, 且 $abc=1$, 求 $a^{3}+b^{3}+c^{3}$ 的值.","已知 $\frac{by}{z}+\frac{cz}{y}=a$, $\frac{cz}{x}+\frac{ax}{z}=b$, $\frac{ax}{y}+\frac{by}{x}=c$, 且 $abc=1$, 求 $a^{3}+b^{3}+c^{3}$ 的值.","Given $\frac{by}{z}+\frac{cz}{y}=a$, $\frac{cz}{x}+\frac{ax}{z}=b$, $\frac{ax}{y}+\frac{by}{x}=c$, and $abc=1$, find the value of $a^{3}+b^{3}+c^{3}$.",5,5,math_expression,symbolic_equivalence
olymmath_hard_29_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,30,OlymMATH-HARD-29-ZH,幾何,几何,Geometry,"在矩形 $ABCD$ 中, $AB=2$, $AD=4$, 點 $E$ 線上段 $AD$ 上, 且 $AE=3$. 現分別沿 $BE$、$CE$ 將 $\triangle ABE$、$\triangle DCE$ 翻折, 使得點 $D$ 落線上段 $AE$ 上. 求二面角 $D-EC-B$ 的餘弦值.","在矩形 $ABCD$ 中, $AB=2$, $AD=4$, 点 $E$ 在线段 $AD$ 上, 且 $AE=3$. 现分别沿 $BE$、$CE$ 将 $\triangle ABE$、$\triangle DCE$ 翻折, 使得点 $D$ 落在线段 $AE$ 上. 求二面角 $D-EC-B$ 的余弦值.","In rectangle $ABCD$, $AB=2$, $AD=4$, point $E$ is on segment $AD$, and $AE=3$. Now fold triangle $\triangle ABE$ along $BE$ and fold triangle $\triangle DCE$ along $CE$, so that point $D$ falls on segment $AE$. Find the cosine value of the dihedral angle $D-EC-B$.",\frac{7}{8},\frac{7}{8},math_expression,symbolic_equivalence
olymmath_hard_30_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,31,OlymMATH-HARD-30-ZH,代數,代数,Algebra,設 $f(x) = || \cdots || x^{10} - 2^{2007}| - 2^{2006}| - \cdots - 2^2| - 2| $. 求 $f(2007)$ 的值.,设 $f(x) = || \cdots || x^{10} - 2^{2007}| - 2^{2006}| - \cdots - 2^2| - 2| $. 求 $f(2007)$ 的值.,Let $f(x) = || \cdots || x^{10} - 2^{2007}| - 2^{2006}| - \cdots - 2^2| - 2| $. Find the value of $f(2007)$.,1,1,math_expression,symbolic_equivalence
olymmath_hard_31_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,32,OlymMATH-HARD-31-ZH,組合,组合,Combinatorics,"用六種不同的顏色給正四面體 $ABCD$ 各稜染色, 每條稜只能染一種顏色且共頂點的稜不同色. 求所有稜均不同色的機率.","用六种不同的颜色给正四面体 $ABCD$ 各棱染色, 每条棱只能染一种颜色且共顶点的棱不同色. 求所有棱均不同色的概率.","A regular tetrahedron $ABCD$ has its edges colored with six different colors, with each edge colored with only one color and edges sharing a vertex must have different colors. Find the probability that all edges have different colors.",\frac{3}{17},\frac{3}{17},math_expression,symbolic_equivalence
olymmath_hard_32_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,33,OlymMATH-HARD-32-ZH,組合,组合,Combinatorics,"對於正方體 $ABCD-A_{1}B_{1}C_{1}D_{1}$, 將 $1, 2, \cdots, 8$ 分別放在正方體的八個頂點上, 要求每一個面上的任意三個數之和均不小於 $10$. 求不同放法的個數.","对于正方体 $ABCD-A_{1}B_{1}C_{1}D_{1}$, 将 $1, 2, \cdots, 8$ 分别放在正方体的八个顶点上, 要求每一个面上的任意三个数之和均不小于 $10$. 求不同放法的个数.","For a cube $ABCD-A_{1}B_{1}C_{1}D_{1}$, place the numbers $1, 2, \cdots, 8$ at the eight vertices of the cube, with the requirement that the sum of any three numbers on each face is not less than $10$. Find the number of different ways to place the numbers.",480,480,math_expression,symbolic_equivalence
olymmath_hard_33_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,34,OlymMATH-HARD-33-ZH,組合,组合,Combinatorics,"給定直線上 $2024$ 個點. 現在隨機將所有點配成 $1012$ 對, 連成 $1012$ 條線段. 求找到一條線段, 與其餘 $1011$ 條線段都相交的機率.","给定直线上 $2024$ 个点. 现在随机将所有点配成 $1012$ 对, 连成 $1012$ 条线段. 求找到一条线段, 与其余 $1011$ 条线段都相交的概率.","Given 2024 points on a straight line. Now randomly pair all points into 1012 pairs, connecting them into 1012 line segments. Find the probability that there exists a line segment that intersects with all the other 1011 line segments.",\frac{2}{3},\frac{2}{3},math_expression,symbolic_equivalence
olymmath_hard_34_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,35,OlymMATH-HARD-34-ZH,組合,组合,Combinatorics,"五名網球選手進行單迴圈賽（任意兩人之間恰好比賽一場）, 且沒有平局. 在這十場比賽中的每一場, 兩名選手的獲勝機率都是 $50\%$, 且各場比賽的結果相互獨立. 求對於整個比賽過程, 存在四位兩兩不同的選手 $P_1$、$P_2$、$P_3$、$P_4$, 滿足 $P_1$ 勝 $P_2$、$P_2$ 勝 $P_3$、$P_3$ 勝 $P_4$、$P_4$ 勝 $P_1$ 的機率.","五名网球选手进行单循环赛（任意两人之间恰好比赛一场）, 且没有平局. 在这十场比赛中的每一场, 两名选手的获胜概率都是 $50\%$, 且各场比赛的结果相互独立. 求对于整个比赛过程, 存在四位两两不同的选手 $P_1$、$P_2$、$P_3$、$P_4$, 满足 $P_1$ 胜 $P_2$、$P_2$ 胜 $P_3$、$P_3$ 胜 $P_4$、$P_4$ 胜 $P_1$ 的概率.","Five tennis players participate in a round-robin tournament (exactly one match between any two players), and there are no draws. In each of these ten matches, both players have a $50\%$ probability of winning, and the results of each match are independent. Find the probability that during the entire tournament, there exist four distinct players $P_1$, $P_2$, $P_3$, $P_4$, such that $P_1$ defeats $P_2$, $P_2$ defeats $P_3$, $P_3$ defeats $P_4$, and $P_4$ defeats $P_1$.",\frac{49}{64},\frac{49}{64},math_expression,symbolic_equivalence
olymmath_hard_35_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,36,OlymMATH-HARD-35-ZH,幾何,几何,Geometry,"在橢圓 $\Gamma: \frac{x^{2}}{2019} + \frac{y^{2}}{2018} = 1$ 中, $F$ 為左焦點. 過右焦點的直線 $l$ 與橢圓 $\Gamma$ 的左準線及橢圓 $\Gamma$ 依次交於點 $C, A, B$. 若 $\angle FAB = 40^{\circ}$, $\angle FBA = 10^{\circ}$, 求 $\angle FCA$ 的值.","在椭圆 $\Gamma: \frac{x^{2}}{2019} + \frac{y^{2}}{2018} = 1$ 中, $F$ 为左焦点. 过右焦点的直线 $l$ 与椭圆 $\Gamma$ 的左准线及椭圆 $\Gamma$ 依次交于点 $C, A, B$. 若 $\angle FAB = 40^{\circ}$, $\angle FBA = 10^{\circ}$, 求 $\angle FCA$ 的值.","In the ellipse $\Gamma: \frac{x^{2}}{2019} + \frac{y^{2}}{2018} = 1$, $F$ is the left focus. Line $l$ passing through the right focus intersects the left directrix of ellipse $\Gamma$ and the ellipse $\Gamma$ at points $C$, $A$, and $B$, respectively. If $\angle FAB = 40^{\circ}$ and $\angle FBA = 10^{\circ}$, find the value of $\angle FCA$.",15^{\circ},15^{\circ},math_expression,symbolic_equivalence
olymmath_hard_41_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,42,OlymMATH-HARD-41-ZH,數論,数论,Number Theory,"定義函式 $f: \mathbb{Z} \rightarrow \mathbb{Z}$, 對任意的 $x, y \in \mathbb{Z}$, 均有 $f(x^2 - 3y^2) + f(x^2 + y^2) = 2(x+y)f(x-y)$. 若 $n > 0$, 則 $f(n) > 0$, 且 $f(2015)f(2016)$ 為完全平方數. 求 $f(1) + f(2)$ 的最小值.","定义函数 $f: \mathbb{Z} \rightarrow \mathbb{Z}$, 对任意的 $x, y \in \mathbb{Z}$, 均有 $f(x^2 - 3y^2) + f(x^2 + y^2) = 2(x+y)f(x-y)$. 若 $n > 0$, 则 $f(n) > 0$, 且 $f(2015)f(2016)$ 为完全平方数. 求 $f(1) + f(2)$ 的最小值.","Define a function $f: \mathbb{Z} \rightarrow \mathbb{Z}$ such that for any $x, y \in \mathbb{Z}$, we have $f(x^2 - 3y^2) + f(x^2 + y^2) = 2(x+y)f(x-y)$. If $n > 0$, then $f(n) > 0$, and $f(2015)f(2016)$ is a perfect square. Find the minimum value of $f(1) + f(2)$.",246,246,math_expression,symbolic_equivalence
olymmath_hard_50_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,51,OlymMATH-HARD-50-ZH,數論,数论,Number Theory,"設集合 $A = \{0, 1, \cdots, 2018\}$. 若 $x, y, z \in A$, 且 $x^2 + y^2 - z^2 = 2019^2$, 求 $x + y + z$ 的最大值與最小值之和.","设集合 $A = \{0, 1, \cdots, 2018\}$. 若 $x, y, z \in A$, 且 $x^2 + y^2 - z^2 = 2019^2$, 求 $x + y + z$ 的最大值与最小值之和.","Let set $A = \{0, 1, \cdots, 2018\}$. If $x, y, z \in A$, and $x^2 + y^2 - z^2 = 2019^2$, find the sum of the maximum and minimum values of $x + y + z$.",7962,7962,math_expression,symbolic_equivalence
olymmath_hard_52_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,53,OlymMATH-HARD-52-ZH,代數,代数,Algebra,"求最小的實數 $a$, 使得對所有正整數 $n$ 和實數 $0 = x_0 < x_1 < \cdots < x_n$ 滿足
$$a \sum_{k=1}^{n} \frac{\sqrt{(k+1)^3}}{\sqrt{x_k^2 - x_{k-1}^2}} \geq \sum_{k=1}^{n} \frac{k^2 + 3k + 3}{x_k}.$$","求最小的实数 $a$, 使得对所有正整数 $n$ 和实数 $0 = x_0 < x_1 < \cdots < x_n$ 满足
$$a \sum_{k=1}^{n} \frac{\sqrt{(k+1)^3}}{\sqrt{x_k^2 - x_{k-1}^2}} \geq \sum_{k=1}^{n} \frac{k^2 + 3k + 3}{x_k}.$$","Find the minimum real number $a$ such that for all positive integers $n$ and real numbers $0 = x_0 < x_1 < \cdots < x_n$ satisfying
$$a \sum_{k=1}^{n} \frac{\sqrt{(k+1)^3}}{\sqrt{x_k^2 - x_{k-1}^2}} \geq \sum_{k=1}^{n} \frac{k^2 + 3k + 3}{x_k}.$$",\frac{16\sqrt{2}}{9},\frac{16\sqrt{2}}{9},math_expression,symbolic_equivalence
olymmath_hard_62_zh,OlymMATH-HARD,RUC-AIBOX/OlymMATH,zh-hard,test,63,OlymMATH-HARD-62-ZH,數論,数论,Number Theory,"已知 $n = \overline{d_1 d_2 \cdots d_{2017}}$, 其中 $d_i \in \{1, 3, 5, 7, 9\}$ $(i = 1, 2, \cdots, 2017)$, 且 $\sum_{i=1}^{1009} d_i d_{i+1} \equiv 1 \pmod{4}$, $\sum_{i=1010}^{2016} d_i d_{i+1} \equiv 1 \pmod{4}$. 求滿足條件的 $n$ 的個數.","已知 $n = \overline{d_1 d_2 \cdots d_{2017}}$, 其中 $d_i \in \{1, 3, 5, 7, 9\}$ $(i = 1, 2, \cdots, 2017)$, 且 $\sum_{i=1}^{1009} d_i d_{i+1} \equiv 1 \pmod{4}$, $\sum_{i=1010}^{2016} d_i d_{i+1} \equiv 1 \pmod{4}$. 求满足条件的 $n$ 的个数.","Given $n = \overline{d_1 d_2 \cdots d_{2017}}$, where $d_i \in \{1, 3, 5, 7, 9\}$ $(i = 1, 2, \cdots, 2017)$, and $\sum_{i=1}^{1009} d_i d_{i+1} \equiv 1 \pmod{4}$, $\sum_{i=1010}^{2016} d_i d_{i+1} \equiv 1 \pmod{4}$. Find the number of values of $n$ that satisfy these conditions.",6 \times 5^{2015},6 \times 5^{2015},math_expression,symbolic_equivalence
